,datetime,load_area,mkt_region,zone,mw,dt,md,wday,mw_norm
0,1/1/24 0:00,AECO,MIDATL,AE,946.65,2024-01-01 00:00:00,"(1, 1)",Monday,-0.3445874282861981
1,1/1/24 0:00,AEPAPT,WEST,AEP,4228.784,2024-01-01 00:00:00,"(1, 1)",Monday,-0.8318030817372771
2,1/1/24 0:00,AEPIMP,WEST,AEP,2590.721,2024-01-01 00:00:00,"(1, 1)",Monday,-1.9451145128480853
3,1/1/24 0:00,AEPKPT,WEST,AEP,662.849,2024-01-01 00:00:00,"(1, 1)",Monday,-0.6871276995581235
4,1/1/24 0:00,AEPOPT,WEST,AEP,6028.185,2024-01-01 00:00:00,"(1, 1)",Monday,-1.3206694914328208
5,1/1/24 0:00,AP,WEST,AP,5226.85,2024-01-01 00:00:00,"(1, 1)",Monday,-1.2298096455684908
6,1/1/24 0:00,BC,MIDATL,BC,3126.873,2024-01-01 00:00:00,"(1, 1)",Monday,-1.0679672176524986
7,1/1/24 0:00,CE,WEST,CE,9438.426,2024-01-01 00:00:00,"(1, 1)",Monday,-0.9790245028431506
8,1/1/24 0:00,DAY,WEST,DAY,1723.0,2024-01-01 00:00:00,"(1, 1)",Monday,-1.3211613962497788
9,1/1/24 0:00,DEOK,WEST,DEOK,2725.693,2024-01-01 00:00:00,"(1, 1)",Monday,-0.847524616279419
10,1/1/24 0:00,DOM,SOUTH,DOM,13553.438,2024-01-01 00:00:00,"(1, 1)",Monday,-0.5428354433380681
11,1/1/24 0:00,DPLCO,MIDATL,DPL,1944.179,2024-01-01 00:00:00,"(1, 1)",Monday,-0.8850017469372197
12,1/1/24 0:00,DUQ,WEST,DUQ,1339.788,2024-01-01 00:00:00,"(1, 1)",Monday,-1.3260399393894062
13,1/1/24 0:00,EASTON,MIDATL,DPL,27.222,2024-01-01 00:00:00,"(1, 1)",Monday,-0.9125795473701956
14,1/1/24 0:00,EKPC,WEST,EKPC,1773.568,2024-01-01 00:00:00,"(1, 1)",Monday,-0.3668963482631246
