Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,1,57.12,318.04,192.32,285.28
2020,1,1,2,55.64,317.76,253.96,285.12
2020,1,1,3,58.12,309.44,194.92,283.36
2020,1,1,4,57.92,306.92,173.08,284.28
2020,1,1,5,54.84,300.88,163.16,280.56
2020,1,1,6,39.44,287.76,176.08,273
2020,1,1,7,24.88,262.12,150.92,245.88
2020,1,1,8,18.92,237.84,79.72,207.08
2020,1,1,9,19.56,231.64,44.24,170.64
2020,1,1,10,12.28,186.72,1.44,109.68
2020,1,1,11,10.96,120.56,0.96,37.2
2020,1,1,12,24.36,44.28,22.48,2.52
2020,1,1,13,8.16,31.56,36.6,1.52
2020,1,1,14,0.64,43.16,41.2,0.44
2020,1,1,15,0,8.92,15.88,0
2020,1,1,16,1.04,9.84,35.08,0
2020,1,1,17,15.16,4.32,36.92,0.36
2020,1,1,18,18.76,97.28,35.76,110.52
2020,1,1,19,9.6,150.08,36.16,109.16
2020,1,1,20,9.6,227.36,32.44,138.24
2020,1,1,21,10.96,254.44,69.16,164.68
2020,1,1,22,2.6,287.68,130.76,150.64
2020,1,1,23,0.52,293.96,102.68,224.52
2020,1,1,24,0.04,291.64,56.44,227.36
2020,1,2,1,0.32,302.84,21.04,252
2020,1,2,2,1.08,301.36,6.96,268.92
2020,1,2,3,4.56,293.72,3.56,264.52
2020,1,2,4,7.32,289.68,2.8,261.6
2020,1,2,5,9.44,290.28,4.64,261.76
2020,1,2,6,9.84,299.2,9.32,266.56
2020,1,2,7,4.12,305.72,6.44,274.68
2020,1,2,8,2.24,305.72,8.2,275.72
2020,1,2,9,1.48,306.12,14.08,273.52
2020,1,2,10,0.32,312.6,13.36,279.44
2020,1,2,11,0,314.32,9.16,285.4
2020,1,2,12,0,310.68,12.72,284.12
2020,1,2,13,0,301.08,31.84,280.88
2020,1,2,14,0,286.12,33.12,279.68
2020,1,2,15,0,292,19.6,274.76
2020,1,2,16,0,292.6,39.56,278.16
2020,1,2,17,0.24,299.08,87.84,284.92
2020,1,2,18,0.56,301.96,35.6,284.96
2020,1,2,19,9.92,308.8,19,284.88
2020,1,2,20,10.12,311.96,0,284.48
2020,1,2,21,5.28,299.12,1.16,284.76
2020,1,2,22,4,299.68,70.08,278.68
2020,1,2,23,14.28,314.6,133.28,275.88
2020,1,2,24,20.68,315.96,137.2,266.64
2020,1,3,1,10.68,311.68,171.6,263.32
2020,1,3,2,33.12,315.4,225.48,275.4
2020,1,3,3,39.36,312.48,312.52,274.76
2020,1,3,4,52.96,304.68,320.84,270.32
2020,1,3,5,32,307.36,278.6,272.2
2020,1,3,6,43.56,301.84,263.48,271.12
2020,1,3,7,43.12,288.72,310.48,266.48
2020,1,3,8,42.68,268.44,316.28,277.76
2020,1,3,9,46.52,225.32,288.48,276.04
2020,1,3,10,33.2,220.4,255.88,276.12
2020,1,3,11,26,247.96,227.12,258.88
2020,1,3,12,45.88,272.08,227.12,279.48
2020,1,3,13,23.52,227.48,239.36,209.36
2020,1,3,14,34.44,230.32,275.48,200.04
2020,1,3,15,33.16,214.24,234.2,192.72
2020,1,3,16,29.12,186,209.68,196.64
2020,1,3,17,29.24,210.68,215.04,71
2020,1,3,18,31.6,35,131.96,4.36
2020,1,3,19,38.6,49.52,114.64,12.04
2020,1,3,20,37,105.92,117.84,38.76
2020,1,3,21,47.48,160.16,121.28,155.8
2020,1,3,22,45.52,205.4,132.16,161.84
2020,1,3,23,48.08,198.96,126.08,141.88
2020,1,3,24,31.88,87.88,142.8,165.64
2020,1,4,1,11.4,21.04,78.2,79.52
2020,1,4,2,12.24,25.4,37.8,31
2020,1,4,3,9.44,24.04,13,13.36
2020,1,4,4,18.76,29.48,21.36,11.4
2020,1,4,5,16.56,21.96,61.84,24
2020,1,4,6,9.24,29.08,43.32,34.12
2020,1,4,7,7.52,22.36,12.44,32.88
2020,1,4,8,8.24,10.56,39.72,28.32
2020,1,4,9,1.04,6.08,36.36,34.56
2020,1,4,10,0,18.16,5.16,40.68
2020,1,4,11,0,43.48,0,19.28
2020,1,4,12,0,67.8,3.56,48.48
2020,1,4,13,1.96,62.28,52.48,97.44
2020,1,4,14,24.12,63.8,137.84,102.24
2020,1,4,15,26,143.48,198.64,181.08
2020,1,4,16,30.64,121.92,154.4,176.68
2020,1,4,17,15.16,61.76,64.6,161.32
2020,1,4,18,15.12,221.84,130.88,35.56
2020,1,4,19,42.2,163.84,158.24,222.96
2020,1,4,20,54.92,245.68,241.08,236.48
2020,1,4,21,57.16,296.04,329,229.8
2020,1,4,22,58.8,309.76,334.32,282.44
2020,1,4,23,58.8,318.52,333.32,285.4
2020,1,4,24,58.96,319.64,335.68,230.88
2020,1,5,1,58.72,319.64,334.56,234.92
2020,1,5,2,58.8,319.36,335.96,251
2020,1,5,3,59.04,319.6,335.52,240.96
2020,1,5,4,58.64,319.64,336.28,245.24
2020,1,5,5,59,318.88,335.88,239.76
2020,1,5,6,58.88,307.36,333.68,252.16
2020,1,5,7,58.84,291.8,331.32,278.72
2020,1,5,8,58.64,281.48,323,268.12
2020,1,5,9,58.2,253.12,304.72,265.56
2020,1,5,10,58.48,302,286.32,281.32
2020,1,5,11,56.12,304.8,221.76,259.36
2020,1,5,12,40.76,251.32,104.8,251.48
2020,1,5,13,31.36,224.56,125.2,236.32
2020,1,5,14,28.16,177.2,119.72,202.92
2020,1,5,15,20.44,191.84,116.56,232.56
2020,1,5,16,21.44,142.88,140.84,173.36
2020,1,5,17,17.68,99.88,139.24,111.96
2020,1,5,18,33.44,38.28,64.8,0
2020,1,5,19,31,54.6,57.04,1.56
2020,1,5,20,26.76,56.52,105.72,10.48
2020,1,5,21,8.28,70.4,69.12,167.92
2020,1,5,22,5.8,69.64,48.88,225.36
2020,1,5,23,15.6,144.8,65.04,215.84
2020,1,5,24,34.64,191.16,114.72,263.32
2020,1,6,1,41.6,255.36,217.24,260.08
2020,1,6,2,46.92,228.08,254.16,260.36
2020,1,6,3,52,240.72,243.64,266.88
2020,1,6,4,54.04,288.64,289.32,264.48
2020,1,6,5,49.24,298.88,283.04,260.4
2020,1,6,6,41.76,298,306.24,259.88
2020,1,6,7,38.6,273.84,316.64,255.68
2020,1,6,8,37.8,282.2,321.88,258.24
2020,1,6,9,40.12,307.92,324.32,268.88
2020,1,6,10,52.96,316.36,323.92,278.04
2020,1,6,11,58.12,317.4,286.56,282.28
2020,1,6,12,57.28,313.72,267.96,281.64
2020,1,6,13,54.4,307.84,239.8,278.84
2020,1,6,14,49.24,304.56,199.36,275.32
2020,1,6,15,52.28,303.84,185.68,268.2
2020,1,6,16,57.28,289.4,208.68,265.76
2020,1,6,17,52.04,274.72,246.16,265.64
2020,1,6,18,54.88,275.72,223.44,263.08
2020,1,6,19,51.2,274.56,218.84,262.48
2020,1,6,20,55.12,268.16,207.2,264.4
2020,1,6,21,53.92,264.2,223.4,267.16
2020,1,6,22,58,296.04,232.8,271.48
2020,1,6,23,59.04,315.88,192.4,280.12
2020,1,6,24,59.24,319.64,184.84,284.88
2020,1,7,1,59.2,319.64,247.6,285.4
2020,1,7,2,59.08,315.96,313.12,284.68
2020,1,7,3,58.8,318.4,331.64,284.56
2020,1,7,4,58.76,318.76,333.52,283.68
2020,1,7,5,58.56,318.56,334.64,282.92
2020,1,7,6,58.2,318.68,334.64,280.76
2020,1,7,7,58.84,318.48,335.52,284.32
2020,1,7,8,58.88,318.28,335.12,281.84
2020,1,7,9,59.2,317.44,335.48,280.56
2020,1,7,10,59.04,317.56,329.28,281.56
2020,1,7,11,55.4,317.68,307.4,283.76
2020,1,7,12,56.96,312.76,302.56,283.64
2020,1,7,13,58.72,310.04,303.04,282.36
2020,1,7,14,58.48,313.28,298.56,281.76
2020,1,7,15,57.64,315.52,310.6,283.6
2020,1,7,16,58.48,314.8,319.52,283.76
2020,1,7,17,58.64,314.92,317.96,285.28
2020,1,7,18,56.36,319.32,303.24,285.4
2020,1,7,19,58.88,319.48,332.52,285.4
2020,1,7,20,58.28,318.56,334.52,285.4
2020,1,7,21,58.44,318.36,334.76,285.32
2020,1,7,22,54.84,298.68,334.88,283.72
2020,1,7,23,56.84,319.16,328.92,285.28
2020,1,7,24,58.12,306.8,283.2,284.6
2020,1,8,1,53.24,217.4,248.16,245.72
2020,1,8,2,39.72,308.68,244.8,278.4
2020,1,8,3,27.64,315.32,254.4,279.2
2020,1,8,4,37.24,230.8,274.36,211.76
