hr,power_norm
0,0.447171654
1,0.521600382
2,0.490307291
3,0.373138372
4,0.338452212
5,0.361208022
6,0.438303626
7,0.363399923
8,0.33021784
9,0.340707413
10,0.313744988
11,0.252000962
12,0.244911025
13,0.233142571
14,0.26047135
15,0.309602116
16,0.372942988
17,0.55258896
18,0.642161922
19,0.523559002
20,0.431683513
21,0.401473902
22,0.441337172
23,0.416136527
24,0.340418106
25,0.329512296
26,0.329181041
27,0.395095658
28,0.410258146
29,0.406559759
30,0.406345405
31,0.384124527
32,0.373652885
33,0.308477012
34,0.268376782
35,0.286785666
36,0.2481794
37,0.2186711
38,0.178313844
39,0.182279106
40,0.221326166
41,0.207230061
42,0.179916444
43,0.134859901
44,0.106092141
45,0.072386529
46,0.038582629
47,0.028150792
48,0.011176245
49,0.008908585
50,0.007445712
51,0.025773526
52,0.040883324
53,0.077091439
54,0.078813058
55,0.065024544
56,0.077175452
57,0.03335351
58,0.060846241
59,0.064245183
60,0.085341876
61,0.072565277
62,0.040788945
63,0.02339763
64,0.033623375
65,0.056443241
66,0.096754895
67,0.136306455
68,0.147294504
69,0.143428295
70,0.183442703
71,0.153424283
72,0.130231932
73,0.134009352
74,0.185686696
75,0.240187915
76,0.256917206
77,0.284790528
78,0.278482189
79,0.358737276
80,0.417213301
81,0.499773331
82,0.445703526
83,0.42304492
84,0.386643398
85,0.337100204
86,0.371847163
87,0.345573837
88,0.325096136
89,0.282757737
90,0.277150408
91,0.223655744
92,0.169987858
93,0.149550443
94,0.129876458
95,0.115824217
96,0.110156765
97,0.126343408
98,0.112083833
99,0.123672707
100,0.139191175
101,0.127558241
102,0.105655545
103,0.091450309
104,0.074204035
105,0.054723668
106,0.03499984
107,0.0266624
108,0.032384166
109,0.054193931
110,0.040859763
111,0.025331551
112,0.018631895
113,0.012344962
114,0.003954213
115,0.001023963
116,0.000524729
117,0
118,0
119,0
120,0
121,0.000524346
122,0.000154338
123,0.002242622
124,0.006534784
125,0.035109322
126,0.005884823
127,0.002650209
128,0.00339397
129,0.000328053
130,0
131,0
132,0
133,0
134,0.003946921
135,0.044344849
136,0.082089971
137,0.0789347
138,0.072526235
139,0.097215164
140,0.148143074
141,0.163808939
142,0.165671181
143,0.183231262
144,0.225065166
145,0.283609259
146,0.287914224
147,0.30037366
148,0.325361009
149,0.367679787
150,0.278630096
151,0.186854914
152,0.181736108
153,0.112439849
154,0.046035219
155,0.010145166
156,0
157,0.020997092
158,0.13650042
159,0.186293408
160,0.276790763
161,0.727479597
162,0.819580217
163,0.660556904
164,0.876085325
165,0.946917542
166,0.823495011
167,0.860614101
168,0.762139018
